City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
311,Buchanan,LR,5.8808,-10.0467,78.76,73,100,8.86,overcast clouds
312,Karasjok,NO,69.4719,25.5112,46.51,77,5,3.13,clear sky
313,Richards Bay,ZA,-28.783,32.0377,59.99,55,0,3.94,clear sky
314,Rawson,AR,-43.3002,-65.1023,55.13,35,18,12.93,few clouds
315,Taltal,CL,-25.4,-70.4833,61.03,63,7,6.87,clear sky
316,Leo,BF,11.1,-2.1,75.81,78,83,5.64,broken clouds
317,Kuching,MY,1.55,110.3333,75.42,94,20,2.3,few clouds
318,Diego De Almagro,CL,-26.3667,-70.05,72.03,7,0,7.65,clear sky
319,Matagami,CA,49.7502,-77.6328,71.71,46,75,10.36,broken clouds
320,Wageningen,NL,51.9667,5.6667,68.2,85,11,6.91,few clouds
321,Erdenet,MN,49.0333,104.0833,57.47,85,95,2.24,light rain
322,Huarmey,PE,-10.0681,-78.1522,71.42,70,72,14.58,broken clouds
323,San Patricio,US,28.017,-97.5169,94.05,41,53,9.55,broken clouds
324,North Bend,US,43.4065,-124.2243,87.94,80,1,6.91,clear sky
325,Kangasala,FI,61.4638,24.076,65.98,93,98,10.13,overcast clouds
326,Moree,AU,-29.4667,149.85,51.82,87,90,6.91,overcast clouds
327,Lethem,GY,3.3803,-59.7968,86.68,63,47,5.86,scattered clouds
328,Sioux Lookout,CA,50.1001,-91.917,82.78,69,90,2.3,overcast clouds
329,Padang,ID,-0.9492,100.3543,76.69,88,79,3.76,broken clouds
330,Port Hedland,AU,-20.3167,118.5667,62.65,82,4,10.36,clear sky
331,Marabba,SD,12.35,32.1833,79.95,72,100,10.22,light rain
332,Colonia,DE,50.9333,6.95,69.35,61,20,9.22,few clouds
333,Kholodnyy,RU,62.7167,147.95,40.14,83,39,4.61,scattered clouds
334,Pudozh,RU,61.8099,36.5345,65.59,63,100,2.93,overcast clouds
335,Lakes Entrance,AU,-37.8811,147.981,47.17,62,7,14.45,clear sky
336,San Buenaventura,MX,27.0833,-101.5333,90.52,43,40,11.5,scattered clouds
337,Hillsboro,US,45.5229,-122.9898,88.09,47,1,1.99,clear sky
338,Atbasar,KZ,51.8,68.3333,59.85,81,100,12.3,overcast clouds
339,Vardo,NO,70.3705,31.1107,47.95,93,75,4.61,broken clouds
340,San Angelo,US,31.4638,-100.437,95.95,34,1,3.0,clear sky
341,Kahului,US,20.8947,-156.47,82.42,80,40,16.11,scattered clouds
342,Tokmak,UA,47.2514,35.7058,72.3,59,12,9.08,few clouds
