City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
443,Jhelum,PK,79.03,overcast clouds,32.9331,73.7264,Tulip Riverside Hotel And Restaurant Jehlum
446,Mersing,MY,76.91,scattered clouds,2.4312,103.8405,Timotel Hotel
448,Mahon,ES,77.56,clear sky,39.8885,4.2658,ARTIEM Capri
456,Tukrah,LY,80.24,clear sky,32.5341,20.5791,Lokta restaurant
457,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
461,Myitkyina,MM,75.56,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
465,Hobyo,SO,77.61,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
466,Seoul,KR,78.37,mist,37.5683,126.9778,롯데호텔 서울
472,Bar Harbor,US,76.93,clear sky,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
474,Sorong,ID,80.17,light rain,-0.8833,131.25,waigo splash hotel
475,Nuzvid,IN,83.28,light rain,16.7833,80.85,HI-TECH LODGE
484,Hirara,JP,82.09,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
493,Srandakan,ID,76.69,overcast clouds,-7.9386,110.2506,Puri Brata
498,Rapu-Rapu,PH,82.44,overcast clouds,13.1866,124.1256,Seaview Dormitel
500,Wenling,CN,80.91,overcast clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
501,Cayenne,GF,84.24,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
502,Little Current,CA,75.42,broken clouds,45.9793,-81.9248,Hawberry Motel
505,Mitsamiouli,KM,76.73,clear sky,-11.3847,43.2844,Foyer ADM
509,Dhupgari,IN,79.2,heavy intensity rain,26.5858,89.0145,Kalpana Pisir Hotel
513,Honiara,SB,75.78,broken clouds,-9.4333,159.95,Heritage Park Hotel
516,Tateyama,JP,80.98,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
517,Indramayu,ID,75.76,few clouds,-6.3264,108.32,Grand Trisula Hotel
518,Nisko,PL,79.86,clear sky,50.5199,22.1397,Zajazd Pod Jesionami
519,Krumovgrad,BG,78.04,clear sky,41.4667,25.65,Hotel Divna
526,Grand-Santi,GF,82.08,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
531,Sola,VU,79.03,scattered clouds,-13.8833,167.55,Leumerus Bungalows
533,Sao Filipe,CV,76.24,clear sky,14.8961,-24.4956,Hotel Xaguate
536,Ornskoldsvik,SE,77.95,overcast clouds,63.2909,18.7153,ファーストホテル スタット
537,Rochester,US,79.32,few clouds,43.1548,-77.6156,Hyatt Regency Rochester
543,Bud,US,89.42,few clouds,39.447,-86.1758,Ted McQuinn Trust
545,Wloszczowa,PL,77.18,overcast clouds,50.8526,19.9659,Hotel Mariage
550,Dibrugarh,IN,79.34,overcast clouds,27.4833,94.9,Hotel Tea City
552,Cururupu,BR,85.01,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
553,Sturgis,US,89.31,scattered clouds,41.7992,-85.4192,Best Western Plus Howe Inn
557,Nanlong,CN,78.03,clear sky,31.3533,106.0631,Demei Hotel
558,Suamico,US,86.29,clear sky,44.6319,-88.0393,"Country Inn & Suites by Radisson, Green Bay North, WI"
561,Great Falls,US,89.92,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
562,Kalmunai,LK,81.23,overcast clouds,7.4167,81.8167,VS Villa
565,Bubaque,GW,78.01,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
567,Pontianak,ID,80.58,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
569,Colombo,LK,79.16,broken clouds,6.9319,79.8478,Galle Face Hotel
571,Fomboni,KM,76.82,clear sky,-12.28,43.7425,Auberge les abou
572,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
574,Booue,GA,77.85,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
578,Jinchang,CN,75.24,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
579,Luancheng,CN,77.16,light rain,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
582,Zaros,GR,81.32,clear sky,35.1316,24.9046,Eleonas Country Village
584,Camacari,BR,78.57,scattered clouds,-12.6975,-38.3242,Hotel Cambuci
591,Guaratinga,BR,79.47,few clouds,-16.5667,-39.5667,Hotel Caraíva
592,York,US,87.91,scattered clouds,40.1254,-77.0,Rodeway Inn
